Journal, Journal链接, 括号补充信息, 职务, 时间
The Visual Computer, http://www.springer.com/computer/image+processing/journal/371,IF:1.558, Associate Editor, 2018-present
IEEE Computer Graphics and Applications, https://www.computer.org/csdl/magazine/cg,IF:1.725, Associate Editor, 2020-present

