期刊名字, 链接
ACM Transactions on Graphics (TOG), http://tog.acm.org/
IEEE Transactions on Visualization and Computer Graphics (TVCG),http://www.computer.org/portal/web/tvcg
Computer Graphics Forum (CGF),http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8659
The Visual Computer (TVCJ),http://www.springerlink.com/content/100388/
Computer & Graphics (CG),http://ees.elsevier.com/cag/
Graphical Models (GMOD),https://ees.elsevier.com/gmod/default.asp
IEEE Transactions on Circuits and Systems for Video Technology (TCSVT),http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=76
IEEE Computer Graphics and Application (CG&A),http://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=38
