talk名字, 主办方名字 年份, 主办方链接, 城市, 国家, 年份
Functionality Representations and Applications for Shape Analysis, GAMES 2018, https://2018.games-cn.org/index.html, Hefei, China, 2018
High-level Understanding of 3D Shapes, Beijing Institute of Technology,/, Beijing, China, 2017
Learning to Predict Part Mobility from a Single Static Snapshot, ICVRV 2017,http://www.icvrv.org/indexenglish.html, Zhengzhou, China, 2017
Deep Learning in Graphics, China CAD&CG 2017,https://cadcg2017.github.io/, Tianjin, China, 2017
High-level Understanding of 3D Shapes, GDC 2017,http://jsj.sdibt.edu.cn/gdc2017/, Yantai, China, 2017
Function & Fabrication of 3D Shapes, China CAD&CG 2016,http://www.cad.zju.edu.cn/home/cadcg2016/pc/schedule.html, Hangzhou, China, 2016
Functionality Analysis of 3D Shapes under Point Representation, GDC 2016,http://gcl.ustc.edu.cn/gdc2016/, Hefei, China, 2016
Functionality Analysis on 3D Shapes, USTC Summer School 2015 "Advances in Computer Graphics",http://staff.ustc.edu.cn/~lgliu/Courses/SummerSchool_2015/default.html, Hefei, China, 2015
